样本,thr100,thr120,thr128,thr140,thr150,thr160,thr180,thr200,thr220
66-003,1.0018296052420392,1.0939042119739597,1.1309086254565903,1.1726304699876349,1.1869435520182765,1.1943139996757806,1.202140972918615,1.2057041694682695,1.2083973832987092
28-CL-003,0.394656319212796,0.4088114835881349,0.4137499993539733,0.42061511051450773,0.4262599488840648,0.43118697972951747,0.4338830647900536,0.4345721600131938,0.4348162145713894
G218-001,0.6043422531541754,0.8063964574992768,0.8901933078632254,0.9918894066482414,1.0719852414179076,1.121399111377255,1.182711358856157,1.2314390048224606,1.2981549073428207
126-003,3.67824099715754,3.826947746311202,3.8503166880659445,3.863515732819176,3.86816138311518,3.871730322125027,3.8754083678785385,3.8780498995672423,3.8797381828639357
134-003,0.8279995927447232,1.0578013647416045,1.106474457336076,1.1561553516943905,1.1906129840814983,1.2227075940992547,1.3029383766834526,1.368873304617587,1.375316344953948
7-003,1.7551312757983613,1.9039442604655905,1.9450430480657126,1.992444185727471,2.0266003389544553,2.0552293742458354,2.109263053430319,2.137866247650831,2.1429540673816834
