file,rel_path,root_pct,shadow_pct,shadow_dist_p50,shadow_near_root_pct(<=6px),shadow_mid_pct(6-25px),shadow_far_pct(>25px)
F169-002.jpg,图片\0811\F169-002.jpg,0.418,1.811,95.4,23.3,12.6,64.1
F169-003.jpg,图片\0811\F169-003.jpg,0.729,3.09,12.0,32.5,31.0,36.4
F185-001.jpg,图片\0811\F185-001.jpg,0.145,1.908,134.2,10.6,17.2,72.2
F185-002.jpg,图片\0811\F185-002.jpg,0.998,5.657,10.8,30.9,44.4,24.7
F185-003.jpg,图片\0811\F185-003.jpg,0.345,4.703,41.0,11.9,23.9,64.2
F299-001.jpg,图片\0811\F299-001.jpg,0.316,3.497,132.8,11.4,12.8,75.8
F299-002.jpg,图片\0811\F299-002.jpg,0.485,4.755,91.1,15.6,15.0,69.3
F299-003.jpg,图片\0811\F299-003.jpg,0.382,3.95,198.1,9.3,12.1,78.7
F88-001.jpg,图片\0811\F88-001.jpg,0.128,4.25,207.1,7.9,17.8,74.4
F88-002.jpg,图片\0811\F88-002.jpg,0.258,4.592,178.8,10.5,15.6,74.0
F88-003.jpg,图片\0811\F88-003.jpg,0.302,4.408,185.0,8.5,10.1,81.4
F90-001.jpg,图片\0811\F90-001.jpg,0.861,2.695,17.2,35.0,21.5,43.5
F90-002.jpg,图片\0811\F90-002.jpg,0.202,1.976,263.4,13.7,7.4,79.0
F90-003.jpg,图片\0811\F90-003.jpg,0.21,1.944,182.2,18.3,19.1,62.6
F91-001.jpg,图片\0811\F91-001.jpg,0.189,1.6,186.4,14.1,16.7,69.2
F91-002.jpg,图片\0811\F91-002.jpg,0.144,1.169,211.7,3.6,1.7,94.7
F91-003.jpg,图片\0811\F91-003.jpg,0.038,1.352,219.6,6.8,14.0,79.2
G207-002.jpg,图片\0814\G207-002.jpg,1.672,12.012,12.0,29.7,36.1,34.2
G218-001.jpg,图片\0814\G218-001.jpg,0.375,3.93,44.8,14.7,24.6,60.7
G218-002.jpg,图片\0814\G218-002.jpg,0.77,11.385,21.8,16.8,36.9,46.4
G224-001.jpg,图片\0814\G224-001.jpg,1.308,9.442,18.8,21.8,36.2,42.0
G245-002.jpg,图片\0814\G245-002.jpg,0.36,9.086,45.3,10.0,24.6,65.4
G258-001.jpg,图片\0814\G258-001.jpg,1.546,9.157,9.4,34.5,43.1,22.4
G258-003.jpg,图片\0814\G258-003.jpg,1.059,7.609,10.4,30.7,47.0,22.3
G270-002.jpg,图片\0814\G270-002.jpg,0.751,9.534,25.8,17.0,32.2,50.8
G281-001.jpg,图片\0814\G281-001.jpg,1.623,9.137,17.0,28.7,28.6,42.7
G281-002.jpg,图片\0814\G281-002.jpg,0.623,8.72,24.8,16.0,34.4,49.6
G281-003.jpg,图片\0814\G281-003.jpg,1.443,10.541,16.0,23.0,39.9,37.0
G296-003.jpg,图片\0814\G296-003.jpg,1.265,11.59,17.2,22.5,36.0,41.6
F120-003.jpg,图片\F120-003.jpg,0.179,4.996,38.2,12.9,28.2,58.9
G136-002.jpg,图片\G136-002.jpg,0.626,7.88,22.8,17.2,35.5,47.4
树叶003.jpg,图片\树叶003.jpg,1.042,9.201,127.0,5.2,5.9,88.9
