file,rel_path,dpi,crop_px,root_min_border_px,root_would_be_cut,border_dark_before,border_dark_after
F88-003.jpg,图片\0811\F88-003.jpg,600.0,59,0,True,3.21,0.29
F90-001.jpg,图片\0811\F90-001.jpg,600.0,59,0,True,11.01,0.3
F90-002.jpg,图片\0811\F90-002.jpg,600.0,59,0,True,1.29,0.18
F90-003.jpg,图片\0811\F90-003.jpg,600.0,59,0,True,1.41,0.23
F91-001.jpg,图片\0811\F91-001.jpg,600.0,59,0,True,1.69,0.14
F91-002.jpg,图片\0811\F91-002.jpg,600.0,59,0,True,1.42,0.14
F91-003.jpg,图片\0811\F91-003.jpg,600.0,59,0,True,1.46,0.15
G207-002.jpg,图片\0814\G207-002.jpg,720.0,71,0,True,6.09,1.58
G218-001.jpg,图片\0814\G218-001.jpg,600.0,59,0,True,4.61,1.01
G218-002.jpg,图片\0814\G218-002.jpg,600.0,59,0,True,5.84,1.02
G224-001.jpg,图片\0814\G224-001.jpg,720.0,71,0,True,6.2,0.93
G245-002.jpg,图片\0814\G245-002.jpg,720.0,71,0,True,7.92,1.24
G258-001.jpg,图片\0814\G258-001.jpg,720.0,71,0,True,5.9,1.73
G258-003.jpg,图片\0814\G258-003.jpg,720.0,71,0,True,6.4,1.6
G270-002.jpg,图片\0814\G270-002.jpg,720.0,71,0,True,5.21,1.44
G281-001.jpg,图片\0814\G281-001.jpg,720.0,71,0,True,5.49,1.03
G281-002.jpg,图片\0814\G281-002.jpg,720.0,71,0,True,5.87,1.12
G281-003.jpg,图片\0814\G281-003.jpg,720.0,71,0,True,7.85,1.35
G296-003.jpg,图片\0814\G296-003.jpg,720.0,71,0,True,9.72,1.22
F120-003.jpg,图片\F120-003.jpg,600.0,59,0,True,3.12,0.13
G136-002.jpg,图片\G136-002.jpg,600.0,59,0,True,1.97,0.24
