file,rel_path,root_px,holes,reflection_rings,reflection_px,reflection_pct_of_root,max_shell_dt_p90
F88-002.jpg,0811\F88-002.jpg,12393,3,0,0,0.0,4.2
F88-003.jpg,0811\F88-003.jpg,11027,1,0,0,0.0,4.2
F90-001.jpg,0811\F90-001.jpg,10842,1,0,0,0.0,4.2
F90-002.jpg,0811\F90-002.jpg,7064,0,0,0,0.0,0
F90-003.jpg,0811\F90-003.jpg,7294,1,0,0,0.0,3.2
F91-001.jpg,0811\F91-001.jpg,8617,2,0,0,0.0,4.2
F91-002.jpg,0811\F91-002.jpg,4605,1,0,0,0.0,4.0
F91-003.jpg,0811\F91-003.jpg,4196,0,0,0,0.0,0
G207-002.jpg,0814\G207-002.jpg,86369,32,0,0,0.0,4.2
G218-001.jpg,0814\G218-001.jpg,40740,19,1,94,0.23,4.2
G218-002.jpg,0814\G218-002.jpg,61555,35,0,0,0.0,4.2
G224-001.jpg,0814\G224-001.jpg,60601,27,0,0,0.0,4.2
G245-002.jpg,0814\G245-002.jpg,50557,23,0,0,0.0,4.2
G258-001.jpg,0814\G258-001.jpg,82566,35,1,79,0.1,4.2
G258-003.jpg,0814\G258-003.jpg,77965,31,1,155,0.2,4.2
G270-002.jpg,0814\G270-002.jpg,61427,17,0,0,0.0,4.2
G281-001.jpg,0814\G281-001.jpg,58752,18,0,0,0.0,4.2
G281-002.jpg,0814\G281-002.jpg,63551,49,0,0,0.0,4.2
G281-003.jpg,0814\G281-003.jpg,67193,54,4,448,0.67,4.2
G296-003.jpg,0814\G296-003.jpg,69164,58,0,0,0.0,4.2
F120-003.jpg,_根目录\F120-003.jpg,13619,9,0,0,0.0,4.2
G136-002.jpg,_根目录\G136-002.jpg,50720,30,0,0,0.0,4.2
