序号,样本,子目录,man根占比%,CV根占比%,UNet根占比%,CV_IoU,UNet_IoU,CV_Dice,UNet_Dice,CV_精确率,UNet_精确率,CV_召回率,UNet_召回率,CV_FP,CV_FN,UNet_FP,UNet_FN,原图,人工,CV,UNet
1,11-QG-003,杉阔混交林\F,0.3946,0.3389,0.4997,0.6791,0.6106,0.8089,0.7582,0.8754,0.6784,0.7518,0.8593,14704,34103,55959,19333,D:\根系分割项目\outputs\对比十张\原图\1_11-QG-003-ORI.jpg,D:\根系分割项目\outputs\对比十张\人工\1_11-QG-003-man.jpg,D:\根系分割项目\机器图_CV\杉阔混交林\F\11-QG-003-mac.tif,D:\根系分割项目\机器图_UNet\杉阔混交林\F\11-QG-003-mac.tif
4,74-003,数据集2\多样性林\9.11,2.0059,1.7988,1.8827,0.6689,0.8867,0.8016,0.94,0.8478,0.9707,0.7602,0.9111,95367,167521,19201,62127,D:\根系分割项目\outputs\对比十张\原图\4_74-003-ORI.jpg,D:\根系分割项目\outputs\对比十张\人工\4_74-003-man.jpg,D:\根系分割项目\机器图_CV\数据集2\多样性林\9.11\74-003-mac.tif,D:\根系分割项目\机器图_UNet\数据集2\多样性林\9.11\74-003-unet.tif
5,270-001,数据集2\多样性林\9.11,1.9772,1.6645,2.0625,0.011,0.0135,0.0218,0.0267,0.0238,0.0262,0.02,0.0273,565894,674833,699539,669843,D:\根系分割项目\outputs\对比十张\原图\5_270-001-ORI.jpg,D:\根系分割项目\outputs\对比十张\人工\5_270-001-man.jpg,D:\根系分割项目\机器图_CV\数据集2\多样性林\9.11\270-001-mac.tif,D:\根系分割项目\机器图_UNet\数据集2\多样性林\9.11\270-001-unet.tif
