RHIZO 2016a	Operator	Analysis Date Time	ImageFileName	ImageAcqDeviceAndSoftwareInfo DateTimeModified	AnalysedRegionArea(cm2)	AnalysedRegionWidth(cm)	AnalysedRegionHeight(cm)	Left Top Right Bottom  NExclusions	DevOrder Criteria	ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile]	PxClassif	Filters	Fractal PxMin PxMax	SoilVol(m3)	Length(cm)	RatioHypLeafToRootLen	ProjArea(cm2)	RatioHypLeafToRootArea	SurfArea(cm2)		AvgDiam(mm)		LenPerVol(cm/m3)		RootVolume(cm3)	FractalDimension	FractalDeviation	Tips	Forks	Crossings	NofLinks	Altitude	ExternalPathLength	LinkAvgLength(cm)	LinkAvgProjArea(cm2)	LinkAvgSurfArea(cm2)	LinkAvgDiam(mm)	LinkAvgBrAngle(deg)	NofNodules	HypocotylLeafArea	HypocotylLeafLength	NAxis	Main NAxis	Main TotLength	Lateral NAxis	Lateral TotLength	Tertiary NAxis	Tertiary TotLength	NSeedlings	NumberOfClasses	ClassBoundaries	0<.L.<=0.5000000	0.5000000<.L.<=1.0000000	1.0000000<.L.<=1.5000000	1.5000000<.L.<=2.0000000	2.0000000<.L.<=2.5000000	2.5000000<.L.<=3.0000000	3.0000000<.L.<=3.5000000	3.5000000<.L.<=4.0000000	4.0000000<.L.<=4.5000000	.L.>4.5000000	0<.SA.<=0.5000000	0.5000000<.SA.<=1.0000000	1.0000000<.SA.<=1.5000000	1.5000000<.SA.<=2.0000000	2.0000000<.SA.<=2.5000000	2.5000000<.SA.<=3.0000000	3.0000000<.SA.<=3.5000000	3.5000000<.SA.<=4.0000000	4.0000000<.SA.<=4.5000000	.SA.>4.5000000	0<.PA.<=0.5000000	0.5000000<.PA.<=1.0000000	1.0000000<.PA.<=1.5000000	1.5000000<.PA.<=2.0000000	2.0000000<.PA.<=2.5000000	2.5000000<.PA.<=3.0000000	3.0000000<.PA.<=3.5000000	3.5000000<.PA.<=4.0000000	4.0000000<.PA.<=4.5000000	.PA.>4.5000000	0<.V.<=0.5000000	0.5000000<.V.<=1.0000000	1.0000000<.V.<=1.5000000	1.5000000<.V.<=2.0000000	2.0000000<.V.<=2.5000000	2.5000000<.V.<=3.0000000	3.0000000<.V.<=3.5000000	3.5000000<.V.<=4.0000000	4.0000000<.V.<=4.5000000	.V.>4.5000000	0<.T.<=0.5000000	0.5000000<.T.<=1.0000000	1.0000000<.T.<=1.5000000	1.5000000<.T.<=2.0000000	2.0000000<.T.<=2.5000000	2.5000000<.T.<=3.0000000	3.0000000<.T.<=3.5000000	3.5000000<.T.<=4.0000000	4.0000000<.T.<=4.5000000	.T.>4.5000000	GrpName	Background	GrpName	Healthy	GrpName	Disease	
SampleId	COLOR	Name	OwnerGroup	Specifications/NClass	Def Filt/Bg	Length(cm)	ProjArea(cm2)	SurfArea(cm2)	AvgDiam(mm)	Volume(cm3)	Tips	
SampleId	LINK	Link#	Seedling#		Length(cm)	ProjArea(cm2)	SurfArea(cm2)	AvgDiam(mm)	EE-EI-II-IL-BL	Angle(deg)	Magnitude	Altitude	Order	Father	Brother1	Brother2	Baby1	Baby2	Baby3	GrpName	Background	GrpName	Healthy	GrpName	Disease	
SampleId	DEV	Order#	Seedling#	NofLinks	TotalLength(cm)	TotalProjArea(cm2)	TotSurfArea(cm2)	AvgLength(cm)	AvgProjArea(cm2)	AvgSurfArea(cm2)	AvgDiam(mm)									GrpName	Background	GrpName	Healthy	GrpName	Disease	
SampleId	AXIS	Order#	Seedling#	Axis#	TotalLength(cm)	TotalProjArea(cm2)	TotSurfArea(cm2)	AvgLength(cm)	AvgProjArea(cm2)	AvgSurfArea(cm2)	AvgDiam(mm)									GrpName	Background	GrpName	Healthy	GrpName	Disease	NofLinks	FirstLink#	SecondLink#	ThirdLink#	...	
6-37-CL-004-CV		2026/9/24 13:13:11	6_37-CL-004_ԭͼ-CV-UNet.tif		129.7666	14.1389	9.1780	5584 2264 8928 4432  0	MAG ANG DIAM LEN	Clr Intr cm 0.004228 0.004233 Scanner.Cal	GreyThdAutom-173	Smooth Off Area Off LWRatio Off	Off	1.000000	48.0029		2.4813		7.7953		0.5169		48.0029		0.101	0.000	0.000	120	116	0									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	27.1114	20.7394	0.1522	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0026	4.0651	0.0503	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9558	1.2940	0.0160	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0296	0.0653	0.0013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	106	14	0	0	0	0	0	0	0	0	
6-37-CL-004-UNET		2026/9/24 13:13:11	6_37-CL-004_ԭͼ-CV-UNet.tif		119.9469	12.7859	9.3812	10568 2224 13592 4440  0	MAG ANG DIAM LEN	Clr Intr cm 0.004228 0.004233 Scanner.Cal	GreyThdAutom-173	Smooth Off Area Off LWRatio Off	Off	1.000000	41.6355		2.7616		8.6758		0.6633		41.6355		0.144	0.000	0.000	86	112	1									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	10.6270	29.0795	1.8599	0.0690	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1811	6.1143	0.6613	0.0376	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3759	1.9462	0.2105	0.0120	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0121	0.1055	0.0189	0.0016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	69	16	1	0	0	0	0	0	0	0	
7-90-001-CV		2026/9/24 13:14:21	7_90-001_ԭͼ-CV-UNet.tif		479.8802	26.4850	18.1189	7616 320 13880 4600  0	MAG ANG DIAM LEN	Clr Intr cm 0.004228 0.004233 Scanner.Cal	GreyThdAutom-152	Smooth Off Area Off LWRatio Off	Off	1.000000	234.9971		13.1847		41.4209		0.5611		234.9971		0.581	0.000	0.000	523	424	9									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	139.6804	73.9905	16.4571	3.8418	0.5064	0.1602	0.2691	0.0000	0.0000	0.0000	13.3126	15.9615	6.2341	2.0256	0.3451	0.1446	0.2581	0.0000	0.0000	0.0000	4.2375	5.0807	1.9844	0.6448	0.1098	0.0460	0.0822	0.0000	0.0000	0.0000	0.1152	0.2849	0.1911	0.0854	0.0188	0.0104	0.0197	0.0000	0.0000	0.0000	476	34	13	0	0	0	0	0	0	0	
7-90-001-UNET		2026/9/24 13:14:21	7_90-001_ԭͼ-CV-UNet.tif		464.6317	26.2821	17.6787	14672 312 20888 4488  0	MAG ANG DIAM LEN	Clr Intr cm 0.004228 0.004233 Scanner.Cal	GreyThdAutom-152	Smooth Off Area Off LWRatio Off	Off	1.000000	224.7437		14.7015		46.1861		0.6541		224.7437		0.755	0.000	0.000	368	382	4									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	95.6563	102.9529	20.9031	4.0540	0.6132	0.2159	0.3058	0.0423	0.0000	0.0000	10.5282	22.1822	7.7535	2.1113	0.4319	0.1882	0.2949	0.0493	0.0000	0.0000	3.3512	7.0608	2.4680	0.6720	0.1375	0.0599	0.0939	0.0157	0.0000	0.0000	0.1027	0.3952	0.2325	0.0880	0.0243	0.0131	0.0226	0.0046	0.0000	0.0000	302	54	10	2	0	0	0	0	0	0	
8-32-MZ-002-CV		2026/9/24 13:15:01	8_32-MZ-002_ԭͼ-CV-UNet.tif		120.4887	13.2256	9.1103	6088 4520 9216 6672  0	MAG ANG DIAM LEN	Clr Intr cm 0.004228 0.004233 Scanner.Cal	GreyThdAutom-179	Smooth Off Area Off LWRatio Off	Off	1.000000	54.5868		2.0252		6.3625		0.3710		54.5868		0.059	0.000	0.000	286	147	6									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	44.9037	8.7980	0.8850	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.3965	1.8810	0.3088	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0811	0.5987	0.0983	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0252	0.0332	0.0087	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	276	10	0	0	0	0	0	0	0	0	
8-32-MZ-002-UNET		2026/9/24 13:15:01	8_32-MZ-002_ԭͼ-CV-UNet.tif		116.4712	12.1094	9.6183	11088 4448 13952 6720  0	MAG ANG DIAM LEN	Clr Intr cm 0.004228 0.004233 Scanner.Cal	GreyThdAutom-179	Smooth Off Area Off LWRatio Off	Off	1.000000	71.1093		2.4512		7.7007		0.3447		71.1093		0.066	0.000	0.000	335	394	19									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	60.4365	9.8256	0.7075	0.1395	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.2323	2.1843	0.2378	0.0727	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3472	0.6953	0.0757	0.0231	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0299	0.0399	0.0064	0.0030	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	329	6	0	0	0	0	0	0	0	0	
9-34-CL-004-CV		2026/9/24 13:16:14	9_34-CL-004_ԭͼ-CV-UNet.tif		405.9974	19.6524	20.6590	5336 1608 9984 6488  0	MAG ANG DIAM LEN	Clr Intr cm 0.004228 0.004233 Scanner.Cal	GreyThdAutom-179	Smooth Off Area Off LWRatio Off	Off	1.000000	261.8416		10.9813		34.4986		0.4194		261.8416		0.362	0.000	0.000	1088	931	27									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	202.5466	55.1343	3.9316	0.2282	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	17.2599	11.1824	1.4345	0.1232	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.4940	3.5595	0.4566	0.0392	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1382	0.1862	0.0422	0.0053	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1042	44	2	0	0	0	0	0	0	0	
9-34-CL-004-UNET		2026/9/24 13:16:14	9_34-CL-004_ԭͼ-CV-UNet.tif		377.0079	18.1302	20.7944	10440 1576 14728 6488  0	MAG ANG DIAM LEN	Clr Intr cm 0.004228 0.004233 Scanner.Cal	GreyThdAutom-179	Smooth Off Area Off LWRatio Off	Off	1.000000	295.9675		12.4455		39.0988		0.4205		295.9675		0.411	0.000	0.000	1263	1963	62									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	224.3213	66.5571	4.4599	0.5266	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.6223	13.5039	1.6149	0.2741	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.9277	4.2984	0.5140	0.0873	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1503	0.2249	0.0470	0.0114	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1214	48	1	0	0	0	0	0	0	0	
10-25-B-CL-002-CV		2026/9/24 13:17:00	10_25-B-CL-002_ԭͼ-CV-UNet.tif		137.6939	13.5977	10.1263	6224 3128 9440 5520  0	MAG ANG DIAM LEN	Clr Intr cm 0.004228 0.004233 Scanner.Cal	GreyThdAutom-182	Smooth Off Area Off LWRatio Off	Off	1.000000	39.8923		3.3988		10.6778		0.8520		39.8923		0.227	0.000	0.000	108	97	1									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	11.0296	18.7957	6.8333	1.4599	0.6555	0.6883	0.3964	0.0165	0.0000	0.0000	0.9063	4.1651	2.6404	0.7630	0.4452	0.5713	0.3919	0.0183	0.0000	0.0000	0.2885	1.3258	0.8405	0.2429	0.1417	0.1819	0.1248	0.0058	0.0000	0.0000	0.0074	0.0760	0.0821	0.0319	0.0241	0.0379	0.0309	0.0016	0.0000	0.0000	91	14	2	0	1	0	0	0	0	0	
10-25-B-CL-002-UNET		2026/9/24 13:17:00	10_25-B-CL-002_ԭͼ-CV-UNet.tif		126.0573	13.2933	9.4828	11216 3120 14360 5360  0	MAG ANG DIAM LEN	Clr Intr cm 0.004228 0.004233 Scanner.Cal	GreyThdAutom-182	Smooth Off Area Off LWRatio Off	Off	1.000000	42.7197		3.3622		10.5625		0.7870		42.7197		0.208	0.000	0.000	84	436	9									0											10	0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 	12.9863	19.3493	8.2011	1.3003	0.4327	0.3685	0.0813	0.0000	0.0000	0.0000	1.0214	4.3675	3.0740	0.6710	0.2963	0.3113	0.0800	0.0000	0.0000	0.0000	0.3251	1.3902	0.9785	0.2136	0.0943	0.0991	0.0255	0.0000	0.0000	0.0000	0.0082	0.0808	0.0930	0.0278	0.0162	0.0209	0.0063	0.0000	0.0000	0.0000	70	9	5	0	0	0	0	0	0	0	
