样本,真值来源,原图,gt_root_pct,my_root_pct,IoU,Dice,recall,precision,漏检px,漏检占真值%,误检px,误检占我的结果%
00000-001,00000-001.tif,00000-001.tif,13.3823,3.7237,0.1579,0.2728,0.1743,0.6266,3848228,82.57,484316,37.34
22-001,22-001.tif,22-001.jpg,5.8188,2.9627,0.3492,0.5176,0.3906,0.7671,1235027,60.94,240310,23.29
44-001,44-001.tif,44-001.jpg,7.7759,4.1226,0.3072,0.47,0.3596,0.6783,1734370,64.04,461959,32.17
46-002,46-002.jpg,46-002.jpg,5.5013,3.7606,0.3531,0.5219,0.4393,0.6427,1074283,56.07,468006,35.73
7-001,7-001.tif,7-001.tif,2.0245,3.1509,0.6224,0.7673,0.9808,0.6301,13561,1.92,405893,36.99
7-002,7-002.tif,7-002.tif,1.4629,2.3581,0.6079,0.7562,0.9875,0.6126,6355,1.25,318137,38.74
7-003,7-003.tif,7-003.tif,2.1584,4.1911,0.5024,0.6688,0.9837,0.5066,12222,1.63,720184,49.34
